Airline,Source,Destination,Duration,Total_Stops,Additional_Info,Price,Journey_Day,Journey_Month,Dep_Hour,Dep_Min,Arrival_Hour,Arrival_Min
3,0,5,170,4,8,3897.0,24,3,22,20,1,10
1,3,0,445,1,8,7662.0,1,5,5,50,13,15
4,2,1,1140,1,8,13882.0,9,6,9,25,4,25
3,3,0,325,0,8,6218.0,12,5,18,5,23,30
3,0,5,285,0,8,13302.0,1,3,16,50,21,35
8,3,0,145,4,8,3873.0,24,6,9,0,11,25
4,0,5,930,0,5,11087.0,12,3,18,55,10,25
4,0,5,1265,0,8,22270.0,1,3,8,0,5,5
4,0,5,1530,0,5,11087.0,12,3,8,55,10,25
6,2,1,470,0,8,8625.0,27,5,11,25,19,15
1,2,1,795,0,8,8907.0,1,6,9,45,23,0
3,3,0,155,4,8,4174.0,18,4,20,20,22,55
1,1,4,135,4,8,4667.0,24,6,11,40,13,55
4,3,0,730,0,5,9663.0,9,5,21,10,9,20
3,3,0,155,4,8,4804.0,24,4,17,15,19,50
1,2,1,1595,1,8,14011.0,3,3,16,40,19,15
8,2,1,270,0,8,5830.0,15,4,8,45,13,15
4,2,1,1355,0,5,10262.0,12,6,14,0,12,35
1,2,1,1380,1,8,13381.0,12,6,20,15,19,15
4,2,1,1235,0,5,12898.0,27,5,16,0,12,35
2,2,1,310,0,8,19495.0,6,3,14,10,19,20
1,0,5,920,0,8,6955.0,21,3,22,0,13,20
3,0,2,170,4,8,3943.0,3,4,4,0,6,50
3,0,2,175,4,8,4823.0,1,5,18,55,21,50
4,3,0,800,0,5,7757.0,6,5,18,55,8,15
4,2,1,910,1,8,13292.0,9,6,21,25,12,35
3,2,1,345,0,8,8238.0,1,6,21,50,3,35
2,2,1,355,0,8,7682.0,15,5,7,0,12,55
10,0,2,170,4,8,4668.0,18,6,9,45,12,35
10,1,4,135,4,8,3687.0,15,6,7,5,9,20
10,1,4,135,4,8,3687.0,18,6,7,5,9,20
1,3,0,805,1,8,13227.0,1,5,9,50,23,15
3,0,2,170,4,8,4423.0,6,4,4,0,6,50
4,2,1,1320,1,5,10919.0,15,6,14,35,12,35
4,2,1,330,0,5,12373.0,18,5,7,5,12,35
3,2,1,625,0,8,5894.0,27,6,10,35,21,0
8,3,0,315,0,8,4649.0,21,5,15,5,20,20
1,3,0,150,4,8,6245.0,18,5,14,15,16,45
4,0,5,375,0,8,19225.0,6,3,7,0,13,15
4,2,1,715,0,8,14924.0,3,6,7,5,19,0
6,2,1,665,0,8,9646.0,21,5,7,5,18,10
1,0,5,510,0,8,8714.0,15,3,6,45,15,15
4,2,1,1325,0,5,12373.0,18,5,20,55,19,0
0,0,2,165,4,8,3383.0,6,5,11,10,13,55
6,2,1,720,0,8,13062.0,21,3,9,0,21,0
8,0,5,170,4,7,3527.0,24,3,5,45,8,35
3,0,2,170,4,8,3943.0,27,5,4,0,6,50
1,1,4,135,4,8,4667.0,3,5,11,40,13,55
1,3,0,965,0,8,6117.0,15,5,19,0,11,5
4,2,1,1195,1,5,11150.0,27,6,23,5,19,0
4,2,1,195,4,5,7202.0,9,3,11,0,14,15
4,3,0,1520,0,8,12121.0,1,5,9,35,10,55
3,0,5,170,4,8,4377.0,24,3,22,20,1,10
3,0,2,180,4,8,3943.0,18,6,21,15,0,15
0,0,2,170,4,8,4483.0,3,4,23,55,2,45
4,3,0,975,0,8,14231.0,24,3,19,45,12,0
1,0,5,905,1,8,17345.0,1,3,8,50,23,55
10,1,4,135,4,8,7414.0,6,3,7,5,9,20
6,2,1,390,0,8,8073.0,6,5,19,0,1,30
10,4,3,1505,0,8,12395.0,6,3,15,40,16,45
1,3,0,745,0,8,8366.0,6,6,9,25,21,50
1,2,1,1640,0,8,5117.0,3,4,6,5,9,25
6,2,1,615,0,8,12524.0,3,6,8,45,19,0
3,2,1,630,0,8,7191.0,15,5,15,0,1,30
10,1,4,135,4,8,3687.0,24,5,7,5,9,20
3,2,1,625,0,8,5894.0,24,6,10,35,21,0
10,0,2,170,4,8,5403.0,24,4,9,45,12,35
1,4,3,90,4,8,3625.0,6,5,13,55,15,25
1,2,1,800,1,8,10861.0,21,5,5,55,19,15
3,1,4,135,4,8,6297.0,12,3,13,20,15,35
4,4,3,85,4,8,5678.0,1,6,7,5,8,30
4,0,5,1590,0,5,9134.0,9,3,5,45,8,15
6,2,1,440,0,5,10791.0,24,6,11,40,19,0
4,2,1,810,1,8,12819.0,24,6,23,5,12,35
3,2,1,300,0,8,6893.0,21,3,5,5,10,5
10,0,5,165,4,8,7240.0,9,3,9,50,12,35
2,0,2,170,4,8,3898.0,3,4,11,40,14,30
3,4,3,90,4,8,4049.0,3,4,6,25,7,55
4,2,1,1145,0,5,10262.0,15,6,17,30,12,35
8,1,4,135,4,7,3332.0,21,3,8,20,10,35
4,3,0,890,0,5,10844.0,9,6,21,10,12,0
4,0,5,160,4,8,7229.0,24,3,19,55,22,35
4,3,0,1330,0,8,13941.0,6,5,6,30,4,40
3,2,1,575,0,8,5894.0,27,6,11,25,21,0
6,2,1,600,0,8,10197.0,18,5,9,0,19,0
4,0,5,1280,0,5,13712.0,6,3,14,5,11,25
3,2,1,325,0,8,5636.0,24,6,2,0,7,25
4,2,1,1125,1,8,13014.0,6,6,9,40,4,25
4,3,0,740,0,5,7064.0,1,4,8,25,20,45
4,3,0,1080,0,5,10703.0,24,5,20,25,14,25
6,2,1,555,0,8,9646.0,27,5,13,15,22,30
6,2,1,665,0,8,17057.0,6,3,2,15,13,20
4,0,5,1050,0,8,13817.0,12,3,16,55,10,25
1,2,1,800,1,8,13748.0,6,3,5,55,19,15
1,3,0,155,4,8,4880.0,21,4,20,45,23,20
3,1,4,145,4,8,3540.0,21,6,5,15,7,40
8,0,2,160,4,7,3257.0,15,5,5,55,8,35
4,0,2,180,4,5,6478.0,3,6,19,50,22,50
4,4,3,85,4,8,8040.0,18,6,7,5,8,30
4,2,1,995,1,8,14300.0,12,6,20,0,12,35
4,3,0,740,0,8,14781.0,15,5,8,25,20,45
4,3,0,735,0,8,14939.0,9,6,20,0,8,15
4,2,1,450,0,5,10262.0,24,6,20,55,4,25
1,3,0,1440,0,8,6528.0,12,5,14,35,14,35
1,0,2,165,4,8,6121.0,1,5,6,10,8,55
4,2,1,535,1,5,13029.0,18,5,19,30,4,25
6,2,1,430,0,8,11421.0,27,3,11,40,18,50
6,2,1,870,0,8,7574.0,27,3,4,45,19,15
1,2,1,1820,1,8,11596.0,9,5,12,55,19,15
4,2,1,1195,1,8,15129.0,24,5,23,5,19,0
4,0,5,900,0,8,13555.0,18,3,14,5,5,5
3,0,2,175,4,8,5780.0,12,4,18,55,21,50
10,3,0,765,0,8,9397.0,12,5,20,20,9,5
4,2,1,610,0,8,17024.0,6,3,18,15,4,25
2,2,1,355,0,8,5281.0,27,6,7,0,12,55
6,2,1,925,0,8,10348.0,18,5,7,5,22,30
1,2,1,965,0,8,12677.0,6,3,17,20,9,25
6,2,1,610,0,8,15147.0,3,3,15,25,1,35
10,0,2,160,4,8,4668.0,12,6,7,0,9,40
4,2,1,715,0,8,15554.0,9,5,7,5,19,0
8,0,2,160,4,8,3971.0,9,4,5,55,8,35
1,4,3,85,4,8,3100.0,3,5,15,0,16,25
4,3,0,845,0,5,9663.0,6,5,20,0,10,5
1,2,1,1215,0,8,27430.0,1,3,23,0,19,15
3,1,4,145,4,8,3540.0,12,5,5,15,7,40
1,3,0,1390,1,8,10676.0,21,5,12,0,11,10
4,3,0,1090,0,8,13044.0,12,6,14,5,8,15
4,3,0,960,0,8,14388.0,6,5,20,0,12,0
3,0,2,170,4,8,3943.0,24,6,4,0,6,50
3,1,4,140,4,8,3597.0,3,6,14,45,17,5
1,0,5,480,0,8,5932.0,21,3,11,50,19,50
4,2,1,1015,0,5,10262.0,15,6,11,30,4,25
10,2,1,190,4,8,6216.0,12,5,14,40,17,50
3,3,0,165,4,8,4804.0,15,6,20,25,23,10
6,2,1,840,0,8,14067.0,21,5,11,30,1,30
4,2,1,1430,1,8,15129.0,18,5,19,10,19,0
4,2,1,1300,1,8,13376.0,6,6,6,45,4,25
1,2,1,1275,1,8,10441.0,27,6,22,0,19,15
4,0,2,165,4,5,4030.0,24,5,6,0,8,45
4,2,1,650,0,8,17024.0,3,3,8,0,18,50
6,2,1,480,0,8,13017.0,9,4,17,30,1,30
2,3,0,495,0,8,6686.0,6,6,23,30,7,45
3,2,1,325,0,8,5636.0,15,6,2,0,7,25
3,2,1,515,0,8,6442.0,9,6,7,35,16,10
6,2,1,710,0,8,9486.0,21,5,13,5,0,55
4,3,0,1655,0,5,10844.0,21,5,20,0,23,35
4,2,1,505,1,5,15318.0,3,6,20,0,4,25
1,2,1,1255,0,8,5117.0,3,4,12,30,9,25
3,2,1,290,0,8,6147.0,24,6,15,10,20,0
6,2,1,490,0,8,7005.0,9,6,12,50,21,0
8,3,0,140,4,8,3873.0,3,4,22,20,0,40
4,2,1,1465,1,5,9270.0,21,3,18,25,18,50
2,0,2,170,4,8,3898.0,27,6,11,40,14,30
4,3,0,740,0,8,14781.0,12,5,8,25,20,45
4,3,0,735,0,5,8586.0,24,5,20,0,8,15
1,3,0,1415,1,8,10697.0,9,5,8,20,7,55
4,2,1,995,1,8,14300.0,27,6,20,0,12,35
3,0,5,170,4,8,8855.0,3,3,18,55,21,45
4,3,0,1545,0,5,10844.0,12,5,16,30,18,15
4,2,1,1570,0,8,17024.0,6,3,2,15,4,25
4,3,0,1730,0,5,9314.0,1,5,9,35,14,25
3,0,5,165,4,8,4777.0,24,3,0,40,3,25
1,3,0,1515,0,8,7662.0,9,6,12,0,13,15
3,2,1,560,0,8,6442.0,9,5,6,50,16,10
8,2,1,270,0,8,5264.0,12,6,8,45,13,15
4,2,1,925,0,5,12898.0,27,5,13,0,4,25
1,4,3,90,4,8,6092.0,3,3,13,55,15,25
8,0,2,160,4,8,3311.0,21,5,5,55,8,35
4,2,1,550,0,5,6540.0,27,3,19,15,4,25
3,0,2,165,4,8,3419.0,27,5,1,30,4,15
4,2,1,1355,0,5,5177.0,3,4,14,0,12,35
1,2,1,185,4,8,8246.0,18,4,18,5,21,10
4,3,0,690,0,8,14676.0,9,6,9,35,21,5
6,2,1,570,0,8,13587.0,27,6,11,30,21,0
4,3,0,730,0,5,9663.0,6,5,21,10,9,20
4,3,0,1055,0,8,13044.0,12,6,16,30,10,5
3,2,1,305,0,8,5073.0,3,4,20,25,1,30
10,3,0,1550,0,8,9345.0,21,5,17,0,18,50
4,3,0,1200,0,5,9663.0,6,5,14,5,10,5
6,2,1,780,0,8,14277.0,21,5,8,0,21,0
4,2,1,1105,0,5,10262.0,1,6,10,0,4,25
4,4,3,90,4,8,5678.0,27,3,19,35,21,5
6,2,1,570,0,8,13727.0,15,5,16,0,1,30
4,3,0,960,0,5,9663.0,6,5,20,0,12,0
3,1,4,140,4,8,3858.0,12,5,14,45,17,5
8,2,1,270,0,8,4812.0,24,6,8,45,13,15
3,2,1,345,0,8,5775.0,27,6,21,50,3,35
4,3,0,1450,0,5,10539.0,6,6,9,35,9,45
3,3,0,155,4,8,4804.0,3,6,15,30,18,5
0,0,2,165,4,8,3383.0,12,6,11,10,13,55
3,0,5,295,0,8,8738.0,3,3,12,10,17,5
1,2,1,1535,0,8,7165.0,27,3,5,15,6,50
3,2,1,380,0,8,6412.0,24,6,16,10,22,30
4,0,2,185,4,8,8016.0,27,6,18,55,22,0
4,0,5,1120,0,5,11087.0,12,3,20,35,15,15
8,1,4,135,4,7,3543.0,27,6,9,45,12,0
4,3,0,730,0,8,12471.0,12,6,16,30,4,40
4,2,1,1165,0,5,10262.0,24,6,9,0,4,25
1,0,5,170,4,8,4441.0,18,3,13,20,16,10
6,2,1,505,0,8,12537.0,27,3,7,5,15,30
2,3,0,555,0,8,10091.0,24,3,22,25,7,40
1,0,2,170,4,8,6961.0,3,6,21,5,23,55
3,2,1,195,4,8,5013.0,24,4,5,35,8,50
1,2,1,170,4,8,6934.0,18,5,5,10,8,0
6,2,1,740,0,8,10877.0,3,6,6,40,19,0
4,0,2,175,4,8,7229.0,18,4,15,15,18,10
3,2,1,575,0,8,7048.0,27,3,16,0,1,35
10,0,2,155,4,8,4878.0,27,6,17,0,19,35
4,3,0,570,0,5,10844.0,21,5,14,5,23,35
4,2,1,1760,1,8,15129.0,18,5,23,5,4,25
3,0,2,175,4,8,3943.0,12,5,0,30,3,25
8,2,1,315,0,8,5583.0,6,6,6,5,11,20
6,2,1,545,0,8,9646.0,6,6,7,5,16,10
6,2,1,645,0,8,7677.0,3,6,8,30,19,15
3,2,1,295,0,8,6842.0,1,6,5,10,10,5
4,4,3,90,4,5,4995.0,24,6,8,45,10,15
10,3,0,700,0,8,9555.0,9,6,7,10,18,50
3,0,2,165,4,8,4077.0,1,6,1,30,4,15
4,0,2,175,4,8,7229.0,12,5,15,15,18,10
6,2,1,600,0,8,12192.0,9,6,9,0,19,0
1,0,2,165,4,8,5911.0,12,4,10,0,12,45
1,2,1,615,0,8,8372.0,12,6,9,0,19,15
4,4,3,85,4,5,4995.0,18,3,7,10,8,35
6,2,1,555,0,8,14323.0,9,5,10,0,19,15
4,2,1,1375,1,8,13014.0,9,6,5,30,4,25
1,2,1,1730,1,8,13591.0,6,6,14,25,19,15
4,2,1,2245,1,8,18799.0,3,3,5,25,18,50
3,0,2,170,4,8,3943.0,27,4,23,30,2,20
8,4,3,90,4,7,1965.0,21,5,5,45,7,15
4,4,3,90,4,5,4995.0,27,5,10,20,11,50
1,3,0,1540,0,8,14641.0,24,3,16,50,18,30
1,3,0,155,4,8,4460.0,12,4,20,45,23,20
1,2,1,375,0,8,10191.0,18,5,13,0,19,15
4,2,1,1050,0,5,13843.0,9,3,2,15,19,45
3,2,1,345,0,8,6349.0,1,5,21,50,3,35
0,3,0,155,4,8,4409.0,1,5,10,20,12,55
4,2,1,1530,0,8,17024.0,6,3,18,15,19,45
6,2,1,835,0,8,13727.0,18,5,7,5,21,0
3,0,5,175,4,8,8855.0,15,3,18,25,21,20
6,2,1,615,0,8,12524.0,24,6,8,45,19,0
4,0,5,520,0,8,13555.0,18,3,11,40,20,20
4,3,0,330,0,5,10844.0,6,6,6,30,12,0
6,2,1,720,0,8,13587.0,9,6,9,0,21,0
8,1,4,135,4,7,3543.0,12,6,9,45,12,0
10,1,4,135,4,8,4842.0,18,3,7,5,9,20
3,0,2,170,4,8,3943.0,24,4,23,30,2,20
4,2,1,550,0,5,10577.0,9,6,19,15,4,25
3,2,1,625,0,8,6979.0,15,5,10,35,21,0
10,1,4,140,4,8,11982.0,27,6,17,45,20,5
8,2,1,270,0,8,5264.0,6,6,8,45,13,15
10,2,1,190,4,8,8001.0,3,3,6,0,9,10
1,2,1,1410,1,8,10651.0,1,6,19,45,19,15
4,3,0,1640,0,5,10844.0,24,5,16,30,19,50
6,2,1,755,0,8,6601.0,27,3,9,45,22,20
1,2,1,1455,0,8,6587.0,21,3,19,0,19,15
8,4,3,80,4,8,3173.0,21,3,13,10,14,30
1,0,2,165,4,8,5228.0,9,5,10,0,12,45
4,0,2,180,4,5,5769.0,21,6,7,10,10,10
4,2,1,660,0,8,14714.0,6,6,8,0,19,0
4,2,1,810,1,8,13014.0,3,6,5,30,19,0
3,0,2,170,4,8,3359.0,3,6,22,10,1,0
2,0,5,175,4,8,6722.0,3,3,20,55,23,50
3,3,0,165,4,8,4462.0,18,3,9,35,12,20
3,2,1,675,0,8,6171.0,9,3,4,55,16,10
1,3,0,875,1,8,12303.0,21,5,5,50,20,25
6,2,1,835,0,8,7695.0,21,3,11,40,1,35
3,2,1,845,0,8,5684.0,24,6,11,25,1,30
1,3,0,905,0,8,8366.0,12,6,16,50,7,55
1,1,4,135,4,8,19630.0,1,3,11,40,13,55
4,0,5,900,0,5,13502.0,6,3,14,5,5,5
4,3,0,775,0,8,14781.0,1,5,21,10,10,5
6,2,1,540,0,8,6513.0,12,6,7,10,16,10
1,2,1,735,0,8,9929.0,1,6,7,0,19,15
6,2,1,460,1,8,18275.0,6,6,17,50,1,30
1,2,1,1640,0,8,4487.0,9,4,6,5,9,25
3,4,3,85,4,8,2754.0,15,3,21,20,22,45
1,4,3,80,4,8,2575.0,27,3,6,20,7,40
8,3,0,330,0,8,8224.0,12,6,15,55,21,25
1,2,1,705,0,8,8991.0,9,3,20,30,8,15
3,2,1,195,4,8,5000.0,24,6,5,35,8,50
4,3,0,1495,0,5,8529.0,12,6,18,55,19,50
1,2,1,1640,0,8,14042.0,3,3,6,5,9,25
4,0,2,175,4,5,4030.0,24,5,11,10,14,5
4,3,0,1025,0,5,10844.0,6,6,18,55,12,0
3,3,0,160,4,8,4804.0,6,5,21,25,0,5
6,2,1,480,0,5,7308.0,27,5,17,30,1,30
3,0,2,180,4,8,4823.0,12,5,16,55,19,55
4,2,1,1655,0,5,10262.0,24,6,9,0,12,35
4,2,1,450,0,5,12898.0,27,5,20,55,4,25
1,0,5,1375,1,8,12778.0,12,3,17,25,16,20
3,2,1,515,0,8,14871.0,3,3,4,45,13,20
1,2,1,1795,1,8,8708.0,21,3,13,20,19,15
4,3,0,1335,0,5,10844.0,6,6,20,0,18,15
8,4,3,80,4,8,4129.0,6,3,5,45,7,5
3,3,0,160,4,8,4804.0,18,5,21,25,0,5
4,0,2,180,4,8,7229.0,6,5,8,20,11,20
4,0,5,730,0,5,7832.0,21,3,7,0,19,10
8,1,4,155,4,8,3859.0,18,3,9,30,12,5
6,2,1,705,0,8,9001.0,6,6,7,30,19,15
10,0,2,155,4,8,4878.0,9,5,17,0,19,35
3,4,3,90,4,8,2754.0,3,5,2,35,4,5
10,0,2,160,4,8,4668.0,27,6,7,0,9,40
0,3,0,155,4,8,5216.0,12,5,10,20,12,55
4,2,1,1375,1,5,10368.0,6,6,5,30,4,25
3,2,1,880,1,8,8146.0,9,3,6,40,21,20
4,2,1,925,0,8,12242.0,27,3,13,0,4,25
4,0,5,435,0,5,9134.0,15,3,8,0,15,15
1,2,1,1210,1,8,10939.0,6,6,13,15,9,25
1,2,1,1245,1,8,11753.0,6,6,10,55,7,40
8,3,0,150,4,8,4174.0,24,4,17,10,19,40
4,3,0,1430,0,5,10844.0,21,5,20,0,19,50
4,2,1,1620,0,8,14714.0,3,6,16,0,19,0
4,3,0,330,0,5,9899.0,12,6,6,30,12,0
3,2,1,710,0,8,14871.0,3,3,9,10,21,0
3,1,4,135,4,8,7295.0,6,3,13,20,15,35
1,2,1,1470,1,8,13465.0,6,6,18,45,19,15
8,1,4,140,4,7,3543.0,21,5,17,45,20,5
6,2,1,390,0,8,7198.0,27,6,19,0,1,30
4,2,1,1225,0,5,10262.0,1,6,8,0,4,25
3,3,0,155,4,8,4148.0,15,3,15,20,17,55
4,0,2,175,4,8,8016.0,27,6,15,15,18,10
4,2,1,335,0,5,10262.0,9,6,22,50,4,25
8,3,0,150,4,7,3841.0,15,6,14,55,17,25
4,0,5,885,0,8,11507.0,12,3,9,45,0,30
4,3,0,740,0,8,14781.0,1,5,8,25,20,45
4,2,1,1530,0,8,16079.0,27,5,17,30,19,0
4,2,1,335,0,5,12898.0,27,5,22,50,4,25
6,2,1,705,0,8,15353.0,6,3,7,30,19,15
3,0,5,175,4,8,7303.0,24,3,18,25,21,20
8,3,0,340,0,8,6197.0,24,3,15,5,20,45
1,3,0,245,0,8,8996.0,9,6,9,10,13,15
3,2,1,480,0,8,6528.0,21,3,14,20,22,20
2,0,2,165,4,8,4239.0,9,4,20,55,23,40
3,3,0,160,4,8,4148.0,12,3,20,25,23,5
8,0,2,175,4,8,3971.0,24,5,21,10,0,5
0,3,0,955,0,8,5192.0,6,5,7,35,23,30
4,2,1,1390,1,8,9483.0,9,4,13,25,12,35
4,2,1,440,1,8,18804.0,3,6,11,40,19,0
1,2,1,170,4,8,5201.0,18,6,5,10,8,0
4,2,1,450,0,8,16079.0,27,5,11,30,19,0
4,0,2,180,4,5,7229.0,15,6,19,50,22,50
6,2,1,465,0,8,6795.0,27,5,17,45,1,30
4,3,0,1520,0,8,10953.0,9,5,9,35,10,55
6,2,1,625,1,8,15965.0,24,6,15,5,1,30
1,2,1,1820,1,8,9968.0,9,4,12,55,19,15
3,3,0,155,4,8,4804.0,6,6,22,15,0,50
4,2,1,540,0,8,16079.0,27,5,10,0,19,0
4,2,1,910,1,5,11507.0,12,6,21,25,12,35
1,3,0,1700,1,8,11542.0,9,6,9,25,13,45
4,0,2,180,4,8,7229.0,24,4,17,45,20,45
4,0,2,165,4,5,4544.0,27,4,6,0,8,45
3,2,1,295,0,8,6496.0,15,5,5,10,10,5
3,3,0,160,4,8,4804.0,15,6,21,25,0,5
1,0,5,1330,0,8,13439.0,1,3,11,5,9,15
4,2,1,610,0,5,6540.0,27,3,18,15,4,25
3,0,2,170,4,8,4591.0,1,6,23,30,2,20
3,0,5,260,0,8,4437.0,18,3,16,15,20,35
0,2,1,660,0,8,6151.0,21,3,20,10,7,10
4,0,2,180,4,5,7754.0,21,6,17,45,20,45
